number_of_rounds,best_iteration,best_ntreelimit,eta,gamma,max_depth,error
2500,1,1,0.001,20,6,0.2757706
2500,6,6,0.001,20,10,0.2715801
2500,16,16,0.001,20,20,0.2618903
2500,1,1,0.001,50,2,0.2802488
2500,1,1,0.001,50,4,0.2802486
2500,11,11,0.001,50,6,0.2757118
2500,1,1,0.001,50,10,0.2705646
2500,1,1,0.001,50,20,0.26240600000000003
2500,1,1,0.001,100,2,0.2802485
2500,1,1,0.001,100,4,0.2802485
2500,1,1,0.001,100,6,0.2757216
2500,3,3,0.001,100,10,0.2717201
2500,1,1,0.001,100,20,0.2646736
2500,1,1,0.003,1,2,0.2802486
2500,8,8,0.003,1,4,0.2802507
2500,14,14,0.003,1,6,0.2757473
2500,2,2,0.003,1,10,0.2710588
2500,34,34,0.003,1,20,0.2648428
2500,1,1,0.003,5,2,0.2802486
2500,13,13,0.003,5,4,0.2802546
2500,1,1,0.003,5,6,0.2757607
2500,5,5,0.003,5,10,0.2709484
2500,28,28,0.003,5,20,0.261605
2500,1,1,0.003,20,2,0.2802486
2500,1,1,0.003,20,4,0.2802487
2500,2,2,0.003,20,6,0.2757235
2500,1,1,0.003,20,10,0.2711434
2500,25,25,0.003,20,20,0.261857
2500,1,1,0.003,50,2,0.2802486
2500,1,1,0.003,50,4,0.2802486
2500,3,3,0.003,50,6,0.2754224
2500,1,1,0.003,50,10,0.2713895
2500,1,1,0.003,50,20,0.2626856
2500,1,1,0.003,100,2,0.2802486
2500,1,1,0.003,100,4,0.2802488
2500,1,1,0.003,100,6,0.2755129
2500,1,1,0.003,100,10,0.2716648
2500,1,1,0.003,100,20,0.26481910000000003
2500,1,1,0.005,1,2,0.2802486
2500,1,1,0.005,1,4,0.2800596
2500,52,52,0.005,1,6,0.2756271
2500,1,1,0.005,1,10,0.2709445
2500,14,14,0.005,1,20,0.264898
2500,1,1,0.005,5,2,0.2802486
2500,1,1,0.005,5,4,0.2802268
2500,1,1,0.005,5,6,0.2757866
2500,14,14,0.005,5,10,0.2707182
2500,90,90,0.005,5,20,0.2610971
